CMS, sigma*BR, sqrt(s) = 7 TeV; polariation as measured in CMS
values from BPH_12_006_v2
yMin  yMax    pTMean   pTMin    pTMax   sigma[fb] statPos statNeg sysPos sysNeg spinPos spinNeg
0     1.2     11       10       12      23310     290     290     4570   5830   0       0
0     1.2     13       12       14      15095     195     195     880    1080   0       0
0     1.2     15       14       16      9750      120     120     245    290    0       0
0     1.2     17       16       18      6398      85      85      92     107    0       0
0     1.2     19       18       20      4210      83      83      41     45     0       0
0     1.2     21       20       22      2939      62      62      25     27     0       0
0     1.2     23       22       24      1856      37      37      9      9      0       0
0     1.2     25       24       26      1212      32      32      4      4      0       0
0     1.2     27       26       28      817       27      27      3      3      0       0
0     1.2     29       28       30      639       21      21      2      2      0       0
0     1.2     31       30       32      439       21      21      0.79   0.81   0       0
0     1.2     33       32       34      292       15      15      1      1      0       0
0     1.2     35       34       36      225       12      12      0.3    0.3    0       0
0     1.2     37       36       38      173       12      12      0.4    0.4    0       0
0     1.2     39       38       40      100       10      10      0.3    0.3    0       0
0     1.2     41       40       43      88        6       6       0.06   0.06   0       0
0     1.2     44       43       46      74        5       5       0.06   0.06   0       0
0     1.2     47       46       50      38        3.3     3.3     0.014  0.015  0       0
0     1.2     52       50       55      24        2.8     2.8     0.0096 0.0097 0       0
0     1.2     57       55       60      19        2       2       0.0061 0.0062 0       0
0     1.2     64       60       70      7.8       0.89    0.89    0.0012 0.0013 0       0
0     1.2     82       70       100     2.1       0.3     0.3     0.0001 0.0001 0       0
                                                          

  
      
         
               
                 
                   
                      
                        
                           
                            
                          
                             
                   
                   
                   
                  
                   
       
      
      

  
