CMS, sigma*BR, sqrt(s) = 7 TeV; polariation as measured in CMS
values from BPH_12_006_v2
yMin  yMax    pTMean   pTMin    pTMax   sigma[fb] statPos statNeg sysPos  sysNeg  spinPos spinNeg
0     0.6     11       10       12      12445     200     200     1440    1845    0       0
0     0.6     13       12       14      7940      140     140     280     360     0       0   
0     0.6     15       14       16      5058      80      80      84      103     0       0         
0     0.6     17       16       18      3393      56      56      34      41      0       0            
0     0.6     19       18       20      2137      49      49      13      15      0       0               
0     0.6     21       20       22      1543      34      34      6.9     7.6     0       0              
0     0.6     23       22       24      970       26      26      3       3       0       0                   
0     0.6     25       24       26      640       21      21      2       2       0       0                      
0     0.6     27       26       28      409       21      21      1       1       0       0                      
0     0.6     29       28       30      345       14      14      0.7     0.7     0       0             
0     0.6     31       30       32      220       11      11      0.24    0.25    0       0            
0     0.6     33       32       34      160       12      12      0.47    0.47    0       0        
0     0.6     35       34       36      117       8.2     8.2     0.11    0.11    0       0      
0     0.6     37       36       38      94        7       7       0.12    0.13    0       0        
0     0.6     39       38       40      62        5.9     5.9     0.08    0.081   0       0     
0     0.6     41.4     40       43      42        3.9     3.9     0.026   0.026   0       0  
0     0.6     44.4     43       46      39        3.6     3.6     0.021   0.022   0       0   
0     0.6     47.9     46       50      22        2.4     2.4     0.0066  0.0067  0       0
0     0.6     52.4     50       55      12        1.6     1.6     0.0035  0.0035  0       0
0     0.6     57.4     55       60      8.1       1.3     1.3     0.0018  0.0018  0       0
0     0.6     64.6     60       70      4.5       0.6     0.6     0.0004  0.0004  0       0
0     0.6     82       70       100     0.9       0.2     0.2     0.00003 0.00003 0       0

0.6   1.2     11       10       12      10760     210     210     920     1150    0       0
0.6   1.2     13       12       14      7115      145     145     230     260     0       0
0.6   1.2     15       14       16      4675      90      90      55      60      0       0
0.6   1.2     17       16       18      2985      65      65      18      19      0       0
0.6   1.2     19       18       20      2069      68      68      11      11      0       0     
0.6   1.2     21       20       22      1391      52      52      10      11      0       0     
0.6   1.2     23       22       24      885       27      27      3       3       0       0           
0.6   1.2     25       24       26      572       25      25      1       1       0       0            
0.6   1.2     27       26       28      408       17      17      2       2       0       0            
0.6   1.2     29       28       30      294       15      15      0.8     0.8     0       0   
0.6   1.2     31       30       32      218       18      18      0.4     0.4     0       0   
0.6   1.2     33       32       34      131       10      10      0.3     0.3     0       0  
0.6   1.2     35       34       36      107       8.6     8.6     0.1     0.1     0       0 
0.6   1.2     37       36       38      78        9.6     9.6     0.2     0.2     0       0    
0.6   1.2     39       38       40      37        7.5     7.5     0.2     0.2     0       0  
0.6   1.2     41.4     40       43      45        4.4     4.4     0.02    0.02    0       0
0.6   1.2     44.4     43       46      35        3.9     3.9     0.04    0.04    0       0
0.6   1.2     47.9     46       50      16        2.3     2.3     0.0066  0.0067  0       0
0.6   1.2     52.4     50       55      12        2.3     2.3     0.0057  0.0057  0       0
0.6   1.2     57.4     55       60      11        1.5     1.5     0.0041  0.0041  0       0
0.6   1.2     64.6     60       70      3.2       0.7     0.7     0.0008  0.0008  0       0
0.6   1.2     82       70       100     1.2       0.2     0.2     0.0001  0.0001  0       0
