CMS, sigma*BR, sqrt(s) = 7 TeV; no polarization
values from
yMin   yMax     pTMean  pTMin   pTMax   sigma[pb]  statPos statNeg systPos systNeg  HX_T  HX_L 
0.00 0.30 10.483  10.	11.	4.235e+01 2.069e+00 -2.069e+00 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 11.494  11.	12.	2.664e+01 7.163e-01 -7.163e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 12.483  12.	13.	1.700e+01 3.442e-01 -3.442e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 13.481  13.	14.	1.053e+01 1.757e-01 -1.757e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 14.484  14.	15.	7.738e+00 1.256e-01 -1.256e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 15.481  15.	16.	5.054e+00 7.271e-02 -7.271e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 16.481  16.	17.	3.805e+00 5.696e-02 -5.696e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 17.480  17.	18.	2.643e+00 3.778e-02 -3.778e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 18.484  18.	19.	1.968e+00 2.865e-02 -2.865e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 19.488  19.	20.	1.456e+00 2.145e-02 -2.145e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 21.154  20.	22.5	8.985e-01 8.369e-03 -8.369e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 23.648  22.5	25.	4.601e-01 4.547e-03 -4.547e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 26.175  25.	27.5	2.742e-01 2.982e-03 -2.982e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 28.661  27.5	30.	1.511e-01 1.675e-03 -1.675e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 32.222  30.	35.	8.471e-02 8.655e-04 -8.655e-04 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 37.178  35.	40.	3.641e-02 4.333e-04 -4.333e-04 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 45.397  40.	55.	1.032e-02 1.103e-04 -1.103e-04 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.00 0.30 61.611  55.	75.	2.893e-03 9.434e-05 -9.434e-05 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00

0.30 0.60 10.481  10.	11.	 4.060e+01 1.839e+00 -1.839e+00 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
