CMS, sigma*BR, sqrt(s) = 7 TeV; no polarization
values from
yMin   yMax     pTMean  pTMin   pTMax   sigma[pb]  statPos statNeg systPos systNeg  HX_T  HX_L 
0.000000 1.200000 10.483000 10.000000 11.000000 39.625000 0.818073 0.818073 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 11.494000 11.000000 12.000000 25.375000 0.305645 0.305645 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 12.483000 12.000000 13.000000 15.977501 0.148926 0.148926 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 13.481000 13.000000 14.000000 10.373250 0.083451 0.083451 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 14.484000 14.000000 15.000000 7.214000 0.055034 0.055034 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 15.481000 15.000000 16.000000 4.847750 0.034603 0.034603 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 16.481001 16.000000 17.000000 3.477000 0.024505 0.024505 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 17.480000 17.000000 18.000000 2.500250 0.017390 0.017390 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 18.483999 18.000000 19.000000 1.880000 0.013427 0.013427 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 19.488001 19.000000 20.000000 1.342500 0.009616 0.009616 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 21.153999 20.000000 22.500000 0.851175 0.003983 0.003983 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 23.648001 22.500000 25.000000 0.455825 0.002322 0.002322 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 26.174999 25.000000 27.500000 0.270575 0.001577 0.001577 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 28.660999 27.500000 30.000000 0.151775 0.000875 0.000875 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 32.222000 30.000000 35.000000 0.083055 0.000455 0.000455 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 37.178001 35.000000 40.000000 0.034673 0.000233 0.000233 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 45.396999 40.000000 55.000000 0.010660 0.000068 0.000068 0.000000 0.000000 0.000000 0.000000
0.000000 1.200000 61.611000 55.000000 75.000000 0.002547 0.000044 0.000044 0.000000 0.000000 0.000000 0.000000
