CMS, sigma*BR, sqrt(s) = 7 TeV; no polarization
values from
rapMin rapMax ptMean ptMin ptMax sigma[pb] statPos statNeg systPos systNeg HX_T HX_L
0.0 1.2 10.462 10.0 11.0 37.58711 0.29259 0.29259 2.82952 2.82952 1.31 0.68
0.0 1.2 11.465 11.0 12.0 23.82549 0.19207 0.19207 1.37621 1.37621 1.30 0.69
0.0 1.2 12.465 12.0 13.0 15.27673 0.13542 0.13542 0.78524 0.78524 1.28 0.69
0.0 1.2 13.472 13.0 14.0 10.12604 0.10054 0.10054 0.48706 0.48706 1.27 0.70
0.0 1.2 14.472 14.0 15.0 7.09516 0.07899 0.07899 0.33418 0.33418  1.26 0.71
0.0 1.2 15.475 15.0 16.0 4.75721 0.06172 0.06172 0.22899 0.22899  1.25 0.72
0.0 1.2 16.476 16.0 17.0 3.45471 0.05072 0.05072 0.16009 0.16009  1.24 0.72
0.0 1.2 17.477 17.0 18.0 2.50683 0.04158 0.04158 0.11872 0.11872  1.23 0.73
0.0 1.2 18.480 18.0 19.0 1.85686 0.03493 0.03493 0.08502 0.08502  1.22 0.74
0.0 1.2 19.481 19.0 20.0 1.33476 0.02918 0.02918 0.06301 0.06301  1.21 0.74
0.0 1.2 21.130 20.0 22.5 0.85086 0.01435 0.01435 0.04365 0.04365  1.20 0.75
0.0 1.2 23.640 22.5 25.0 0.45772 0.01017 0.01017 0.02364 0.02364  1.18 0.77
0.0 1.2 26.150 25.0 27.5 0.26703 0.00768 0.00768 0.01548 0.01548  1.16 0.78
0.0 1.2 28.651 27.5 30.0 0.16413 0.00602 0.00602 0.00940 0.00940  1.15 0.79
0.0 1.2 32.179 30.0 35.0 0.08338 0.00296 0.00296 0.00501 0.00501  1.13 0.81
0.0 1.2 37.188 35.0 40.0 0.03448 0.00199 0.00199 0.00268 0.00268  1.12 0.83
0.0 1.2 45.488 40.0 55.0 0.01008 0.00066 0.00066 0.00083 0.00083  1.10 0.85
0.0 1.2 62.375 55.0 75.0 0.00232 0.00030 0.00030 0.00029 0.00029  1.07 0.88
0.0 1.2 84.114 75.0 100.0 0.00055 0.00013 0.00013 0.00007 0.00007 1.05 0.91
