CDF, sqrt(s)=1.8 TeV, |eta(J/psi)|<0.6, PRL79 (1997) 578
data taken from http://hepdata.cedar.ac.uk/View/3507602
rapMin	rapMax	pTMean	pTMin	pTMax	sigma	errTotPos errTotNeg
0.	0.6	5.24	5.24	5.24	2.3	+0.62	-0.63
0.	0.6	5.74	5.74	5.74	1.66	+0.43	-0.44
0.	0.6	6.24	6.24	6.24	1.15	+0.29	-0.3
0.	0.6	6.74	6.74	6.74	0.781	+0.19	-0.2
0.	0.6	7.47	7.47	7.47	0.476	+0.12	-0.12
0.	0.6	8.47	8.47	8.47	0.239	+0.058	-0.06
0.	0.6	9.47	9.47	9.47	0.133	+0.032	-0.033
0.	0.6	10.91	10.91	10.91	0.0558	+0.014	-0.014
0.	0.6	12.92	12.92	12.92	0.0171	+0.0046	-0.0047
0.	0.6	15.35	15.35	15.35	0.0059	+0.0018	-0.0018
0.	0.6	18.38	18.38	18.38	0.00154	+5.6E-4	-5.7E-4
