LHCb, ratio*BR-prompt chic, sqrt(s) = 7 TeV; PLB714 (2012) 215
values from http://hepdata.cedar.ac.uk/View/9368566; Lint = 36 pb-1; 2.0 < y(J/psi) < 4.5
pTMean	pTMin	pTMax	ratio	statPos	statNeg	systPos	systNeg	BRPos	BRNeg	polPos	polNeg
2.5	2.0	3.0	1.39	+0.12	-0.13	+0.06	-0.09	+0.08	-0.08	0.06	-0.05
3.5	3.0	4.0	1.32	+0.1	-0.09	+0.03	-0.09	+0.08	-0.08	0.06	-0.05
4.5	4.0	5.0	1.02	+0.07	-0.06	+0.04	-0.06	+0.06	-0.06	0.09	-0.09
5.5	5.0	6.0	1.08	+0.07	-0.06	+0.04	-0.06	+0.07	-0.07	0.16	-0.17
6.5	6.0	7.0	1.09	+0.08	-0.09	+0.03	-0.07	+0.07	-0.07	0.22	-0.22
7.5	7.0	8.0	1.08	+0.13	-0.1	+0.05	-0.07	+0.06	-0.06	0.25	-0.25
8.5	8.0	9.0	0.86	+0.1	-0.1	+0.04	-0.06	+0.05	-0.05	0.22	-0.21
9.5	9.0	10.0	0.76	+0.11	-0.11	+0.04	-0.06	+0.05	-0.05	0.2	-0.19
10.5	10.0	11.0	0.91	+0.16	-0.15	+0.05	-0.07	+0.05	-0.05	0.25	-0.25
11.5	11.0	12.0	0.91	+0.19	-0.17	+0.09	-0.1	+0.06	-0.06	0.24	-0.24
12.5	12.0	13.0	0.68	+0.18	-0.16	+0.05	-0.07	+0.04	-0.04	0.19	-0.18
14.0	13.0	15.0	0.69	+0.2	-0.18	+0.07	-0.07	+0.04	-0.04	0.18	-0.18
