3	90	540	16	-300	360                90	540	16	-300	360
4	35	180	6.8	-105	125                35	180	6.8	-105	125
5	14	65	2.9	-38	42                 14	65	2.9	-38	42
6	5.4	24	1.2	-15	16                 5.4	24	1.2	-15	16
7	2.3	10	0.52	-6	7                  2.3	10	0.52	-6	7
8	1.1	4.8	0.27	-2.8	3.2                1.1	4.8	0.27	-2.8	3.2
9	0.52	2.2	0.14	-1.3	1.6                0.52	2.2	0.14	-1.3	1.6
10	0.28	1.2	0.07	-0.7	0.82               0.28	1.2	0.07	-0.7	0.82

3	70	540	50	-265	400                70	540	50	-265	400
4	19	180	29	-51	180                19	180	29	-51	180
5	5.5	65	17	-8	80                 5.5	65	17	-8	80
5.5	3.56	44.5	13.1	-1.5	58.5               3.56	44.5	13.1	-1.5	58.5
5.8	2.46	32.2	10.76	0.55	45.6               2.46	32.2	10.76	0.55	45.6
6	1.7	24	9.2	1.3	37                 1.7	24	9.2	1.3	37
7	0.66	10	5.2	2.6	19                 0.66	10	5.2	2.6	19
8	0.26	4.8	3	2.1	10                 0.26	4.8	3	2.1	10
9	0.11	2.2	1.9	1.6	5.9                0.11	2.2	1.9	1.6	5.9
10	0.054	1.2	1.2	1.1	3.7                0.054	1.2	1.2	1.1	3.7

3	-30	0	6	150	130                -30	0	6	150	130
4	-6.5	0	2.3	34	29                 -6.5	0	2.3	34	29
5	-1.6	0	0.8	7.4	6.1                -1.6	0	0.8	7.4	6.1
6	-0.43	0	0.27	1.6	1.35               -0.43	0	0.27	1.6	1.35
7	-0.14	0	0.085	0.34	0.28               -0.14	0	0.085	0.34	0.28
7.5     -0.081	0	0.055	0.135	0.11               -0.081	0	0.055	0.135	0.11
8	-0.051	0	0.025	0.05	0.023              -0.051	0	0.025	0.05	0.023
8.5	-0.0355	0	0.01525	0.008	-0.003             -0.0355	0	0.01525	0.008	-0.003
9	-0.02	0	0.0055	-0.014	-0.029             -0.02	0	0.0055	-0.014	-0.029
9.5	-0.0145	0	0.0008	-0.021	-0.032             -0.0145	0	0.0008	-0.021	-0.032
10	-0.009	0	-0.0015	-0.022	-0.031             -0.009	0	-0.0015	-0.022	-0.031
